q1,,q2,,q3,,q4,
0,1,0,4,0,10,0.000734279877865,7
0,2,0,5,0,11,0.000803000358051,8
0,3,0,6,-0.00063457660012,12,-5.25535651673165E-05,9
0,4,0,10,0.000734279877865,7,0.000508267049875,13
0,5,0,11,0.000803000358051,8,6.15937774641086E-05,14
0,6,-0.00063457660012,12,-5.25535651673165E-05,9,0,15
0.000734279877865,7,0.000508267049875,13,0.001142146342606,19,0,22
0.000803000358051,8,6.15937774641086E-05,14,0,20,0,23
-5.25535651673165E-05,9,0,15,0.000330408604379,21,0,24
0,10,0.000734279877865,7,0,16,0.001142146342606,19
0,11,0.000803000358051,8,0,17,0,20
-0.00063457660012,12,-5.25535651673165E-05,9,-0.001885201853775,18,0.000330408604379,21
