Profil,Iy [mm^4],Wely [mm^3],Wply [mm^3],iy [mm],Avz [mm^2],Iz [mm^4],Welz [mm^3],Wplz [mm^3],iz [mm],ss [mm],It [mm^4],Iw [mm^6],h [mm],b [mm],tw [mm],tf [mm],r1 [mm],r2 [mm],A [mm^2],hi [mm],d [mm]
-,10000,1000,1000,10,100,10000,1000,1000,10,10,10000,1000000,,,,,,,100,,
IPE80,80.14,20.03,23.22,3.24,3.58,8.49,3.69,5.82,1.05,20.1,0.7,0.12,80,46,3.8,5.2,5,5,7.64,69.6,59.6
IPE100,171,34.2,39.41,4.07,5.08,15.92,5.79,9.15,1.24,23.07,1.2,0.35,100,55,4.1,5.7,7,7,10.3,88.6,74.6
IPE120,317.8,52.96,60.73,4.9,6.31,27.67,8.65,13.58,1.45,25.2,1.74,0.89,120,64,4.4,6.3,7,7,132,107.4,93.4
IPE140,541.2,77.32,88.34,5.74,7.64,44.92,12.31,19.25,1.65,26.7,2.45,1.98,140,73,4.7,6.9,7,7,16.4,126.2,112.2
IPE160,869.3,108.7,123.9,6.58,9.66,68.31,16.66,26.1,1.84,30.34,3.6,3.96,160,82,5,7.4,9,9,20.1,145.2,127.2
IPE180,1317,146.3,166.4,7.42,11.25,100.9,22.16,34.6,2.05,31.84,4.79,7.43,180,91,5.3,8,9,9,23.9,164,146
IPE200,1943,194.3,220.6,8.26,14,142.4,28.47,44.61,2.24,36.66,6.98,12.99,200,100,5.6,8.5,12,12,28.5,183,159
IPE220,2772,252,285.4,9.11,15.88,204.9,37.25,58.11,2.48,38.36,9.07,22.67,220,110,5.9,9.2,12,12,33.4,201.6,117.6
IPE240,3892,324.3,366.6,9.97,19.14,283.6,42.27,73.92,2.69,43.37,12.88,37.39,240,120,6.2,9.8,15,15,39.1,220.4,190.4
IPE270,5790,428.9,484,11.23,22.14,419.9,62.2,96.95,3.02,44.57,15.94,70.58,270,135,6.6,10.2,15,15,45.9,249.6,219.6
IPE300,8356,557.1,628.4,12.46,25.68,603.8,80.5,125.2,3.35,46.07,20.12,125.9,300,150,7.1,10.7,15,15,53.8,278.6,248.6
IPE330,11770,713.1,804.3,13.71,30.81,788.1,98.52,153.7,3.55,51.59,28.15,199.1,330,160,7.5,11.5,18,18,62.6,307,271
IPE360,16270,903.6,1019,14.95,35.14,1043,122.8,191.1,3.79,54.49,37.32,313.6,360,170,8,12.7,18,18,72.7,334.6,298.6
IPE400,23130,1156,1307,16.55,42.69,1318,146.4,229,3.95,60.2,51.08,490,400,180,8.6,13.5,21,21,84.5,373,331
IPE450,33740,1500,1702,18.48,50.85,1676,176.4,276.4,4.12,63.2,66.87,791,450,190,9.4,14.6,21,21,98.8,420.8,378.8
IPE500,48200,1928,2194,20.43,59.87,2142,214.2,335.9,4.31,66.8,89.29,1249,500,200,10.2,16,21,21,116,468,426
IPE550,97120,2441,2787,22.35,72.34,2668,254.1,400.5,4.45,73.62,123.2,1884,550,210,11.1,17.2,24,24,134,515.6,467.6
IPE600,92080,3069,3512,24.3,83.78,3387,307.9,485.6,4.66,78.12,165.4,2846,600,220,12,19,24,24,156,562,514
IPN80,77.8,19.5,22.8,3.2,3.41,6.29,3,5,0.91,21.6,0.87,0.09,80,42,3.9,5.9,3.9,2.3,7.58,0,59
IPN100,171,34.2,39.8,4.01,4.85,12.2,4.88,8.1,1.07,25,1.6,0.27,100,50,4.5,6.8,4.5,2.7,10.6,0,75.7
IPN120,328,54.7,63.6,4.81,6.63,21.5,7.41,12.4,1.23,28.4,2.71,0.69,120,58,5.1,7.7,5.1,3.1,14.2,0,92.4
IPN140,573,81.9,95.4,5.61,8.65,35.2,10.7,17.9,1.4,31.8,4.32,1.54,140,66,5.7,8.6,5.7,3.4,18.3,0,109.1
IPN160,935,117,136,6.4,10.83,54.7,14.8,24.9,1.55,35.2,6.57,3.14,160,74,6.3,9.5,6.3,3.8,22.8,0,125.8
IPN180,1450,161,187,7.2,13.35,81.3,19.8,33.2,1.71,38.6,9.58,5.92,180,82,6.9,10.4,6.9,4.1,27.9,0,142.4
IPN200,2140,214,250,8,16.03,117,26,43.5,1.87,42,13.5,10.5,200,90,7.5,11.3,7.5,4.5,33.4,0,159.1
IPN220,3060,278,324,8.8,19.06,162,33.1,55.7,2.02,45.4,18.6,17.8,220,98,8.1,12.2,8.1,4.9,39.5,0,175.8
IPN240,4250,354,412,9.59,22.33,221,41.7,70,2.2,48.9,25,28.7,240,106,8.7,13.1,8.7,5.2,46.1,0,192.5
IPN260,5740,442,514,10.4,26.08,288,51,85.9,2.32,52.6,33.5,44.1,260,113,9.4,14.1,9.4,5.6,53.3,0,208.9
IPN280,7590,542,632,11.1,30.18,364,61.2,103,2.45,56.4,44.2,64.6,280,119,10.1,15.2,10.1,6.1,61,0,225.1
IPN300,9800,653,762,11.9,34.58,451,72.2,121,2.56,60.1,56.8,91.8,300,125,10.8,16.2,10.8,6.5,69,0,241.6
IPN320,12510,782,914,12.7,39.26,555,84.7,143,2.67,63.9,72.5,129,320,131,11.5,17.3,11.5,6.9,77.7,0,257.9
IPN340,15700,923,1080,13.5,44.27,674,98.4,166,2.8,67.6,90.4,176,340,137,12.2,18.3,12.2,7.3,86.7,0,274.3
